waypoint_id,latitude,longitude,depth,yaw_deg,control_mode
1,18.34060382857467,-64.977028408493,2.0,0.0,transit
2,18.34060382857467,-64.977028408493,1.0,0.0,transit
3,18.34060382857467,-64.977028408493,1.0,0.0,unknown
4,18.340548525482177,-64.97702840847325,1.0,0.0,unknown
5,18.34054852548471,-64.97702007649768,1.0,0.0,unknown
6,18.340603827484493,-64.97702007651479,1.0,0.0,unknown
7,18.340603827486657,-64.97701174453657,1.0,0.0,unknown
8,18.340548527793707,-64.97701174452212,1.0,0.0,unknown
9,18.34054852779551,-64.97700341254657,1.0,0.0,unknown
10,18.340603825181628,-64.97700341255835,1.0,0.0,unknown
11,18.340603825183063,-64.97699508058014,1.0,0.0,unknown
12,18.34054853010378,-64.976995080571,1.0,0.0,unknown
13,18.340548530104854,-64.97698674859544,1.0,0.0,unknown
14,18.3406038228773,-64.97698674860192,1.0,0.0,unknown
15,18.340603822878013,-64.97697841662371,1.0,0.0,unknown
16,18.340548532290985,-64.97697841661989,1.0,0.0,unknown
17,18.340548532291333,-64.9769700846443,1.0,0.0,unknown
18,18.340603820692934,-64.9769700846455,1.0,0.0,unknown
